,rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,pos_map,tiers
54,55.0,Tyler Boyd,at CLE,36.0,82.0,55.3,7.1,13.4,FLEX,55,CIN,WR,4
55,56.0,Nyheim Hines,vs. MIN,16.0,139.0,57.9,13.4,12.7,FLEX,56,IND,RB,5
56,57.0,Jarvis Landry,vs. CIN,40.0,86.0,58.2,6.7,13.3,FLEX,57,CLE,WR,4
57,58.0,CeeDee Lamb,vs. ATL,35.0,95.0,58.4,8.7,13.0,FLEX,58,DAL,WR,4
58,59.0,Melvin Gordon III,at PIT,21.0,126.0,58.6,12.9,13.1,FLEX,59,DEN,RB,5
59,60.0,Parris Campbell,vs. MIN,24.0,109.0,60.8,10.5,12.4,FLEX,60,IND,WR,4
60,61.0,Darius Slayton,at CHI,33.0,86.0,64.3,8.5,12.4,FLEX,61,NYG,WR,4
61,62.0,John Brown,at MIA,37.0,96.0,64.6,8.2,12.2,FLEX,62,BUF,WR,4
62,63.0,Anthony Miller,vs. NYG,37.0,115.0,65.6,10.4,12.1,FLEX,63,CHI,WR,6
63,64.0,Jared Cook,at LV,46.0,119.0,67.2,13.7,11.9,FLEX,64,NO,TE,6
64,65.0,Hunter Henry,vs. KC,45.0,106.0,68.3,8.6,12.7,FLEX,65,LAC,TE,6
65,66.0,Tyler Higbee,at PHI,45.0,127.0,68.5,11.7,12.5,FLEX,66,LAR,TE,6
66,67.0,Mark Ingram II,at HOU,41.0,117.0,71.0,15.9,12.6,FLEX,67,BAL,RB,6
67,68.0,David Montgomery,vs. NYG,26.0,118.0,74.5,17.0,12.6,FLEX,68,CHI,RB,7
68,69.0,Jerry Jeudy,at PIT,37.0,108.0,75.1,10.7,12.0,FLEX,69,DEN,WR,6
69,70.0,Devin Singletary,at MIA,42.0,115.0,76.3,13.3,12.5,FLEX,70,BUF,RB,6
70,71.0,Dallas Goedert,vs. LAR,45.0,129.0,76.4,10.1,11.4,FLEX,71,PHI,TE,7
71,72.0,James White,at SEA,44.0,143.0,77.4,17.0,12.0,FLEX,72,NE,RB,7
72,73.0,Sterling Shepard,at CHI,50.0,130.0,77.4,8.3,11.9,FLEX,73,NYG,WR,7
73,74.0,Corey Davis,vs. JAC,33.0,122.0,77.4,22.5,11.8,FLEX,74,TEN,WR,7
74,75.0,Preston Williams,vs. BUF,49.0,118.0,78.8,10.2,11.2,FLEX,75,MIA,WR,6
75,76.0,Courtland Sutton,at PIT,35.0,271.0,69.8,28.6,11.6,FLEX,76,DEN,WR,8
76,77.0,Robby Anderson,at TB,47.0,105.0,79.9,9.8,11.0,FLEX,77,CAR,WR,6
77,78.0,Hayden Hurst,at DAL,28.0,136.0,82.7,13.0,11.3,FLEX,78,ATL,TE,7
